name,Tb (K),a_acc,a_don,a_heavy,a_nC,a_nN,a_nO,logP(o/w),TPSA,Weight
408,564.65002,2,1,7,4,1,2,-0.90799999,46.169998,99.088997
409,425.67001,0,0,6,4,0,0,2.0420001,0,124.99799
410,411.17001,0,0,6,4,0,0,1.978,0,124.99799
411,483.10001,0,0,8,4,0,0,2.6930001,0,195.90399
412,341.29999,1,0,5,4,0,1,0.75099999,17.07,70.090996
413,339.07001,1,0,5,4,0,1,0.5,9.2299995,70.090996
414,511.13,2,2,6,4,0,2,-0.352,40.459999,86.089996
415,477.64001,1,0,6,4,0,2,0.237,26.299999,86.089996
416,444.20001,2,2,6,4,0,2,0.565,37.299999,86.089996
417,440.17001,2,2,6,4,0,2,0.54500002,37.299999,86.089996
418,434.67001,2,2,6,4,0,2,0.50099999,37.299999,86.089996
419,353.39999,1,0,6,4,0,2,0.72100002,26.299999,86.089996
420,455.97,2,2,6,4,0,2,0.27200001,37.299999,86.089996
421,549.25,4,4,8,4,0,4,-0.52399999,74.599998,118.088
422,367.85999,0,0,5,4,0,0,1.875,0,135.004
423,355.69,0,0,5,4,0,0,2.4300001,0,135.004
424,371.85001,0,0,5,4,0,0,1.8,0,135.004
425,360.42999,0,0,5,4,0,0,2.063,0,135.004
426,362.76999,0,0,5,4,0,0,1.444,0,135.004
427,489.37,0,0,7,4,0,0,3.6403601,0,294.81201
428,486.97,0,0,7,4,0,0,4.1223602,0,294.81201
429,336.66,0,0,5,4,0,0,1.669,0,90.553001
430,347.26999,0,0,5,4,0,0,1.594,0,90.553001
431,341.23001,0,0,5,4,0,0,1.238,0,90.553001
432,425.10001,0,0,7,4,0,0,2.8503599,0,161.459
433,439.14999,0,0,7,4,0,0,2.5350001,0,161.459
434,436.54001,0,0,7,4,0,0,2.48,0,161.459
435,376.76001,1,0,5,4,1,0,0.74900001,23.790001,69.107002
436,438.32001,2,0,6,4,1,1,-0.21600001,33.02,85.105995
437,274.38,0,0,4,4,0,0,2.3055999,0,56.107998
438,438.73001,0,0,6,4,0,0,2.8859999,0,215.916
439,447.98999,0,0,6,4,0,0,2.714,0,215.916
440,469.79001,0,0,6,4,0,0,2.694,0,215.916
441,417.32999,0,0,6,4,0,0,3.7033601,0,215.916
442,376.04999,0,0,6,4,0,0,3.2913599,0,127.014
443,378.14999,0,0,6,4,0,0,2.7053599,0,127.014
444,451.51999,1,0,7,4,0,1,1.316,9.2299995,143.013
445,308.56,1,0,5,4,0,1,0.79100001,9.2299995,72.106995
446,317.92001,1,0,5,4,0,1,0.87,9.2299995,72.106995
447,337.17001,1,0,5,4,0,1,1.016,17.07,72.106995
448,338.29999,1,0,5,4,0,1,0.74000001,9.2299995,72.106995
449,395.67001,1,1,5,4,0,1,0.366,20.23,72.106995
450,394.44,1,1,5,4,0,1,0.366,20.23,72.106995
451,386.56,1,1,5,4,0,1,0.34599999,20.23,72.106995
452,370.31,1,1,5,4,0,1,0.72000003,20.23,72.106995
453,387.67001,1,1,5,4,0,1,0.30199999,20.23,72.106995
454,388.20001,1,0,6,4,0,1,1.334,17.07,104.173
455,438.67001,1,0,6,4,0,1,0.68699998,17.07,104.173
456,341.29999,1,0,6,4,0,2,0.96499997,26.299999,88.105995
457,508.17001,2,2,6,4,0,2,-0.454,40.459999,88.105995
458,378.70001,2,0,6,4,0,2,0.32600001,18.459999,88.105995
459,417.75,2,1,7,4,0,3,-0.17299999,46.529999,104.105
460,394.28,0,0,5,4,0,0,1.376,0,88.174004
461,364.67999,0,0,5,4,0,0,2.3629999,0,137.02
462,346.45999,0,0,5,4,0,0,2.26,0,137.02
463,323.89999,0,0,5,4,0,0,2.0539999,0,92.569
464,393.54001,0,0,5,4,0,0,2.7550001,0,184.02
465,372.97,0,0,5,4,0,0,3.168,0,184.02
466,438.89999,1,0,6,4,1,1,-0.25999999,20.309999,87.122002
467,401.23001,2,1,6,4,1,1,-0.53500003,21.26,87.122002
468,426.10001,0,0,7,4,1,2,1.584,45.82,103.12099
469,414.87,0,0,7,4,1,2,1.5,45.82,103.12099
470,400.23001,0,0,7,4,1,2,1.397,45.82,103.12099
471,419.39001,2,2,6,4,2,0,-0.84399998,24.059999,86.138
472,372.62,1,1,5,4,0,1,1.013,20.23,74.123001
473,456.31,1,1,6,4,0,1,0.66299999,20.23,106.189
474,357.64999,2,0,6,4,0,2,-0.12226,18.459999,90.122002
475,450.98001,2,2,6,4,0,2,-0.229,40.459999,90.122002
476,392.57001,2,1,6,4,0,2,-0.024,29.459999,90.122002
477,452.17999,2,2,6,4,0,2,-0.17399999,40.459999,90.122002
478,421.64999,2,1,6,4,0,2,-0.044,29.459999,90.122002
479,518.45001,3,2,7,4,0,3,-1.1799999,49.689999,106.12099
480,430.56,3,0,8,4,0,3,-0.177,54.740002,138.187
481,368.60001,0,0,5,4,0,0,1.799,0,90.190002
482,357.89999,0,0,5,4,0,0,1.9910001,0,90.190002
483,427.01001,0,0,6,4,0,0,2.822,0,122.256
484,340.88,1,1,5,4,1,0,0.68699998,26.02,73.139
485,317.42001,1,1,5,4,1,0,0.58399999,26.02,73.139
486,336.07001,1,1,5,4,1,0,0.85399997,12.03,73.139
487,323.73001,1,1,5,4,1,0,0.70200002,12.03,73.139
488,407.10999,2,1,6,4,1,1,-0.52700001,23.469999,89.138
489,449.66,2,2,6,4,1,1,-0.244,46.25,89.138
490,442.67001,2,2,6,4,1,1,-0.454,32.259998,89.138
491,404.42999,2,1,6,4,1,1,-0.17900001,23.469999,89.138
492,442.03,2,2,6,4,1,1,-0.244,46.25,89.138
493,424.03,2,2,6,4,1,1,-0.45100001,46.25,89.138
494,504.62,3,2,7,4,1,2,-1.402,55.48,105.137
495,393.17001,2,2,6,4,2,0,-0.49200001,24.059999,88.153999
